,Churn Rate
90001,0.4
90002,0.2
90003,0.2
90004,0.4
90005,0.6
90006,0.2
90007,0.4
90008,0.0
90010,0.6
90011,0.2
90012,0.2
90013,0.4
90014,0.4
90015,0.2
90016,0.4
90017,0.4
90018,0.0
90019,0.2
90020,1.0
90021,0.0
90022,0.2
90023,0.4
90024,0.6
90025,0.2
90026,0.2
90027,0.4
90028,0.8
90029,0.4
90031,0.2
90032,0.2
90033,0.2
90034,0.0
90035,0.0
90036,0.2
90037,0.4
90038,0.2
90039,0.4
90040,0.0
90041,0.4
90042,0.4
90043,0.2
90044,0.2
90045,0.2
90046,0.0
90047,0.2
90048,0.4
90049,0.4
90056,0.6
90057,0.2
90058,0.4
90059,0.6
90061,0.2
90062,0.6
90063,0.4
90064,0.0
90065,0.2
90066,0.4
90067,0.0
90068,0.2
90069,0.2
90071,0.4
90077,0.0
90201,0.0
90210,0.0
90211,0.2
90212,0.0
90220,0.0
90221,0.4
90222,0.0
90230,0.4
90232,0.2
90240,0.2
90241,0.2
90242,0.2
90245,0.2
90247,0.0
90248,0.2
90249,0.0
90250,0.2
90254,0.6
90255,0.6
90260,0.4
90262,0.4
90263,0.2
90265,0.2
90266,0.0
90270,0.0
90272,0.4
90274,0.0
90275,0.0
90277,0.2
90278,0.0
90280,0.0
90290,0.2
90291,0.2
90292,0.6
90293,0.0
90301,0.2
90302,0.2
90303,0.4
90304,0.2
90305,0.0
90401,0.0
90402,0.2
90403,0.4
90404,0.0
90405,0.4
90501,0.4
90502,0.4
90503,0.2
90504,0.4
90505,0.2
90601,0.0
90602,0.4
90603,0.2
90604,0.0
90605,0.2
90606,0.2
90620,0.4
90621,0.4
90623,0.6
90630,0.0
90631,0.4
90638,0.0
90640,0.2
90650,0.0
90660,0.4
90670,0.2
90680,0.2
90701,0.0
90703,0.2
90704,0.4
90706,0.4
90710,0.4
90712,0.8
90713,0.4
90715,0.0
90716,0.2
90717,0.4
90720,0.2
90723,0.2
90731,0.2
