Customer ID,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Age,Under 30,Married,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Internet Type,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Category
3668-QPYBK,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,37,No,No,0,No,0,2,None,10.47,DSL,21,No,No,No,Yes,53.85,0.0,0,20.94,129.09,1,Churned,Competitor
9237-HQITU,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,19,Yes,No,2,No,0,2,None,9.12,Fiber Optic,51,No,No,No,Yes,70.7,0.0,0,18.24,169.89,2,Churned,Other
9305-CDSKC,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,31,No,No,2,No,0,8,None,12.15,Cable,26,Yes,No,Yes,Yes,99.65,0.0,0,97.2,917.7,3,Churned,Other
7892-POOKP,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,23,Yes,Yes,3,No,0,28,Offer C,4.89,Fiber Optic,47,Yes,Yes,Yes,Yes,104.8,0.0,0,136.92,3182.97,3,Churned,Other
0280-XJGEX,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,38,No,No,1,No,0,49,None,44.33,Fiber Optic,11,Yes,No,Yes,Yes,103.7,0.0,0,2172.17,7208.47,1,Churned,Competitor
4190-MFLUW,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,21,Yes,Yes,0,Yes,6,10,None,9.41,Cable,69,Yes,Yes,No,Yes,55.2,0.0,0,94.1,622.45,1,Churned,Competitor
8779-QRDMV,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,78,No,No,0,No,0,1,None,0.0,DSL,8,Yes,No,No,No,39.65,0.0,20,0.0,59.65,3,Churned,Competitor
1066-JKSGK,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,29,Yes,No,0,No,0,1,None,33.58,None,0,No,No,No,No,20.15,0.0,0,33.58,53.73,1,Churned,Competitor
6467-CHFZW,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,61,No,Yes,1,Yes,1,47,None,31.35,Fiber Optic,16,No,No,Yes,Yes,99.35,0.0,0,1473.45,6222.599999999999,1,Churned,Competitor
8665-UTDHZ,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,27,Yes,Yes,0,Yes,1,1,None,0.0,DSL,58,No,No,No,Yes,30.2,0.0,0,0.0,30.2,1,Churned,Competitor
8773-HHUOZ,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,20,Yes,No,0,No,0,17,None,40.55,Cable,41,No,No,Yes,Yes,64.7,0.0,0,689.3499999999999,1782.45,1,Churned,Competitor
6047-YHPVI,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,56,No,No,3,No,0,5,None,12.6,Fiber Optic,58,No,No,No,Yes,69.7,0.0,0,63.0,379.9,1,Churned,Competitor
5380-WJKOV,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,51,No,No,1,No,0,34,Offer C,21.69,Fiber Optic,28,Yes,No,Yes,Yes,106.35,0.0,0,737.46,4286.71,2,Churned,Competitor
8168-UQWWF,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,48,No,No,2,No,0,11,None,27.57,Cable,18,Yes,No,Yes,Yes,97.85,0.0,0,303.27,1408.67,3,Churned,Competitor
7760-OYPDY,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,32,No,No,2,No,0,2,None,5.85,Fiber Optic,19,No,No,No,No,80.65,0.0,20,11.7,175.85,1,Churned,Competitor
9420-LOJKX,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,34,No,No,1,No,0,15,None,3.96,Fiber Optic,20,No,No,Yes,Yes,99.1,0.0,0,59.4,1485.8,1,Churned,Competitor
7495-OOKFY,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,74,No,Yes,1,Yes,1,8,Offer E,48.85,Fiber Optic,17,No,No,No,Yes,80.65,0.0,0,390.8,1024.1,3,Churned,Competitor
1658-BYGOY,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,71,No,No,3,No,0,18,Offer D,11.33,Fiber Optic,52,No,No,Yes,Yes,95.45,45.61,0,203.94,1910.88,2,Churned,Competitor
5698-BQJOH,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,41,No,No,2,No,0,9,None,27.21,Fiber Optic,29,No,No,Yes,Yes,94.4,0.0,0,244.89,1102.14,3,Churned,Price
5919-TMRGD,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,32,No,No,3,No,0,1,None,13.13,Fiber Optic,57,No,No,No,Yes,79.35,0.0,0,13.13,92.47999999999999,1,Churned,Competitor
9191-MYQKX,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,34,No,Yes,5,Yes,1,7,None,8.69,Fiber Optic,53,Yes,No,No,Yes,75.15,0.0,0,60.83,557.73,1,Churned,Dissatisfaction
8637-XJIVR,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,34,No,No,3,No,0,12,None,25.34,Fiber Optic,56,No,No,No,No,78.95,0.0,80,304.08,1311.43,1,Churned,Attitude
0278-YXOOG,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,30,No,No,0,No,0,5,Offer E,34.26,None,0,No,No,No,No,21.05,0.0,0,171.3,285.15,3,Churned,Attitude
4598-XLKNJ,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,78,No,Yes,1,Yes,1,25,Offer C,19.76,Fiber Optic,12,Yes,No,No,Yes,98.5,13.43,0,494.0000000000001,2995.07,2,Churned,Dissatisfaction
3192-NQECA,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,26,Yes,Yes,0,Yes,4,68,Offer A,14.79,Fiber Optic,47,Yes,Yes,Yes,Yes,110.0,0.0,0,1005.72,8617.57,2,Churned,Competitor
0486-HECZI,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,37,No,Yes,1,No,0,55,None,49.06,Fiber Optic,27,No,No,No,Yes,96.75,0.0,0,2698.3,7937.2,1,Churned,Price
4846-WHAFZ,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,80,No,Yes,1,Yes,1,37,Offer C,6.33,Fiber Optic,14,No,No,No,Yes,76.5,0.0,0,234.21,3102.36,2,Churned,Price
5299-RULOA,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,62,No,Yes,2,Yes,1,10,None,24.48,Fiber Optic,30,No,No,Yes,Yes,100.25,0.0,0,244.8,1309.45,2,Churned,Price
0404-SWRVG,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,21,Yes,No,2,No,0,3,Offer E,14.6,Fiber Optic,71,No,No,Yes,Yes,74.4,8.74,0,43.8,264.61,1,Churned,Dissatisfaction
4412-YLTKF,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,72,No,No,1,No,0,27,Offer C,3.33,Fiber Optic,18,Yes,No,No,No,78.05,0.0,10,89.91,2235.41,1,Churned,Competitor
6207-WIOLX,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,27,Yes,Yes,0,Yes,6,25,Offer C,0.0,DSL,48,Yes,No,Yes,Yes,58.6,4.48,0,0.0,1498.17,1,Churned,Attitude
3091-FYHKI,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,64,No,No,0,No,0,1,Offer E,0.0,DSL,22,No,No,Yes,Yes,35.45,0.0,0,0.0,35.45,3,Churned,Dissatisfaction
2372-HWUHI,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,45,No,No,0,No,0,2,Offer E,46.84,DSL,3,No,No,No,Yes,44.35,0.0,0,93.68,174.93,3,Churned,Other
0390-DCFDQ,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,76,No,Yes,2,Yes,1,1,Offer E,15.28,Fiber Optic,30,No,No,No,Yes,70.45,0.0,0,15.28,85.73,2,Churned,Other
4080-OGPJL,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,53,No,No,0,No,0,8,Offer E,48.14,DSL,18,No,Yes,Yes,Yes,71.15,0.0,0,385.12,948.77,1,Churned,Other
2135-RXIHG,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,63,No,No,0,No,0,1,Offer E,14.12,Cable,24,No,No,No,Yes,45.65,0.0,0,14.12,59.77,1,Churned,Competitor
3874-EQOEP,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,32,No,No,4,No,0,7,Offer E,20.52,Cable,28,No,No,Yes,No,95.0,36.6,10,143.64,772.54,1,Churned,Competitor
0867-MKZVY,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,26,Yes,Yes,1,Yes,5,20,None,36.6,Fiber Optic,51,No,No,Yes,Yes,82.4,33.43,0,732.0,2290.92,1,Churned,Price
3376-BMGFE,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,1,75,4287,Product dissatisfaction,42,No,No,1,No,0,4,Offer E,33.5,Fiber Optic,27,No,No,No,Yes,70.9,8.74,0,134.0,398.26,1,Churned,Dissatisfaction
3445-HXXGF,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,66,No,Yes,0,Yes,6,58,Offer B,0.0,DSL,24,Yes,No,No,Yes,45.3,40.95,0,0.0,2610.25,1,Churned,Dissatisfaction
1875-QIVME,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,26,Yes,Yes,3,Yes,1,2,Offer E,11.51,Fiber Optic,53,Yes,Yes,Yes,Yes,104.4,45.44,0,23.02,220.38,3,Churned,Attitude
0691-JVSYA,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,24,Yes,Yes,0,Yes,5,53,None,40.62,Fiber Optic,73,Yes,No,Yes,Yes,94.85,18.55,0,2152.86,7134.509999999999,1,Churned,Competitor
